S.No,Image Filename,Condition (Problem),Severity,Severity Score,Suggestions (Solutions),Suggestion 1,Suggestion 2,Suggestion 3
21,0161_jpg.rf.e39369754cb1bda6acfb4a5c174a9d67.jpg,Pain-related: Excessive activation pain,Moderate,40,"• Take over-the-counter pain relievers if necessary.
• Stick to a soft food diet (yogurt, soup, mashed potatoes).
• Consult your doctor if severe pain persists beyond 5 days.",Take over-the-counter pain relievers if necessary.,"Stick to a soft food diet (yogurt, soup, mashed potatoes).",Consult your doctor if severe pain persists beyond 5 days.
22,0165_jpg.rf.b71bb333221d80c12331df4bdbcae0a6.jpg,Pain-related: Excessive activation pain,Moderate,40,"• Take over-the-counter pain relievers if necessary.
• Stick to a soft food diet (yogurt, soup, mashed potatoes).
• Consult your doctor if severe pain persists beyond 5 days.",Take over-the-counter pain relievers if necessary.,"Stick to a soft food diet (yogurt, soup, mashed potatoes).",Consult your doctor if severe pain persists beyond 5 days.
23,0167_jpg.rf.e83b3678d5ecdd08bc64da16c0510da4.jpg,TMJ discomfort: Joint locking & acute pain,Severe,82,"• Temporarily reduce mandibular advancement if adjustable.
• Apply a warm compress to the jaw joint area.
• Schedule an urgent consultation to assess TMJ stress.",Temporarily reduce mandibular advancement if adjustable.,Apply a warm compress to the jaw joint area.,Schedule an urgent consultation to assess TMJ stress.
24,0169_jpg.rf.d072682871ebf0e160b06fe098da27b2.jpg,Appliance adaptation: Salivation & soreness,Minor,12,"• This is normal during the initial adaptation phase.
• Sip cool water and practice speaking aloud.
• The soreness should resolve in 3-5 days.",This is normal during the initial adaptation phase.,Sip cool water and practice speaking aloud.,The soreness should resolve in 3-5 days.
25,0171_jpg.rf.4a6578bf91a80b88fd2d041d937a87a9.jpg,Periodontal issues: Gingival inflammation,Moderate,52,"• Reinforce strict brushing and flossing around brackets.
• Use an antiseptic mouthwash or warm salt water rinse.
• Consult your hygienist if bleeding persists beyond a week.",Reinforce strict brushing and flossing around brackets.,Use an antiseptic mouthwash or warm salt water rinse.,Consult your hygienist if bleeding persists beyond a week.
26,0173_jpg.rf.a94524ea8a2cdcd144047a9e218fcdf0.jpg,Trauma-related: Fixed appliance injury,Severe,85,"• Contact your orthodontist immediately for emergency repair.
• If there is bleeding or cut, apply direct pressure with clean gauze.
• Stick to liquid diet until evaluated by a specialist.",Contact your orthodontist immediately for emergency repair.,"If there is bleeding or cut, apply direct pressure with clean gauze.",Stick to liquid diet until evaluated by a specialist.
27,0176_jpg.rf.edb01160ff9e117e9e149a9faa7f6274.jpg,Pain-related: Excessive activation pain,Moderate,40,"• Take over-the-counter pain relievers if necessary.
• Stick to a soft food diet (yogurt, soup, mashed potatoes).
• Consult your doctor if severe pain persists beyond 5 days.",Take over-the-counter pain relievers if necessary.,"Stick to a soft food diet (yogurt, soup, mashed potatoes).",Consult your doctor if severe pain persists beyond 5 days.
28,0179_jpg.rf.cf00fb4751eb55fce622c9b9d4badadf.jpg,Ligature-related: Lost elastic ligature,Minor,15,"• This is a minor issue; the bracket ring has disengaged.
• Keep the area clean and mention it at your next regular visit.
• If the archwire becomes loose, contact your clinic.",This is a minor issue; the bracket ring has disengaged.,Keep the area clean and mention it at your next regular visit.,"If the archwire becomes loose, contact your clinic."
29,0180_jpg.rf.c18a764ca7b76616c527ff112df47ebc.jpg,Fixed appliance: Breakage of telescopic rod,Severe,78,"• Schedule an emergency clinic visit immediately.
• Do not try to bend, force, or cut the telescopic rod yourself.
• Cover any protruding metal parts with a large ball of wax.",Schedule an emergency clinic visit immediately.,"Do not try to bend, force, or cut the telescopic rod yourself.",Cover any protruding metal parts with a large ball of wax.
30,0183_jpg.rf.60a886fbb6a2c54d8bb4c01dcec85bfa.jpg,TMJ discomfort: Joint locking & acute pain,Severe,82,"• Temporarily reduce mandibular advancement if adjustable.
• Apply a warm compress to the jaw joint area.
• Schedule an urgent consultation to assess TMJ stress.",Temporarily reduce mandibular advancement if adjustable.,Apply a warm compress to the jaw joint area.,Schedule an urgent consultation to assess TMJ stress.
31,0184_jpg.rf.fa7b113a6d32f5b1a0186b817335038c.jpg,Appliance adaptation: Salivation & soreness,Minor,12,"• This is normal during the initial adaptation phase.
• Sip cool water and practice speaking aloud.
• The soreness should resolve in 3-5 days.",This is normal during the initial adaptation phase.,Sip cool water and practice speaking aloud.,The soreness should resolve in 3-5 days.
32,0185_jpg.rf.3593a55c052e4bc9de90ca43d3253861.jpg,Pain-related: Excessive activation pain,Moderate,40,"• Take over-the-counter pain relievers if necessary.
• Stick to a soft food diet (yogurt, soup, mashed potatoes).
• Consult your doctor if severe pain persists beyond 5 days.",Take over-the-counter pain relievers if necessary.,"Stick to a soft food diet (yogurt, soup, mashed potatoes).",Consult your doctor if severe pain persists beyond 5 days.
33,0188_jpg.rf.42c79acc9b558ec5b0cabd89f2dfe6f1.jpg,Twin Block: Dislodged bite block,Moderate,48,"• Schedule an adjustment appointment for block reconstruction.
• Stop wearing the appliance if it causes occlusal interference or pain.
• Keep the appliance safe in its case until repaired.",Schedule an adjustment appointment for block reconstruction.,Stop wearing the appliance if it causes occlusal interference or pain.,Keep the appliance safe in its case until repaired.
34,0189_jpg.rf.b9f144c647170c3d7819ffc3c82ccae2.jpg,Caries/enamel: White spot lesions,Moderate,58,"• Requires immediate improvement in plaque removal.
• Use a high-fluoride toothpaste or remineralizing paste.
• Avoid sugary and acidic drinks completely.",Requires immediate improvement in plaque removal.,Use a high-fluoride toothpaste or remineralizing paste.,Avoid sugary and acidic drinks completely.
35,0191_jpg.rf.aa3b679456cc6ebe3c84c8ba66732ae2.jpg,Caries/enamel: White spot lesions,Moderate,58,"• Requires immediate improvement in plaque removal.
• Use a high-fluoride toothpaste or remineralizing paste.
• Avoid sugary and acidic drinks completely.",Requires immediate improvement in plaque removal.,Use a high-fluoride toothpaste or remineralizing paste.,Avoid sugary and acidic drinks completely.
36,0193_jpg.rf.66d28eb8e28620ffe5249e5347130c8f.jpg,Archwire-related: Poking wire,Minor,18,"• Apply orthodontic wax to the sharp wire tip.
• Schedule a standard appointment to get the wire trimmed.
• Avoid touching the area with your tongue to prevent irritation.",Apply orthodontic wax to the sharp wire tip.,Schedule a standard appointment to get the wire trimmed.,Avoid touching the area with your tongue to prevent irritation.
37,0194_jpg.rf.65b0d844cd4b6ee0abc70dc3a39121e1.jpg,Aspiration risk: Swallowed bracket/component,Severe,95,"• Seek immediate medical attention or visit an emergency room.
• Monitor for respiratory symptoms (coughing, difficulty breathing).
• Do not attempt to self-treat.",Seek immediate medical attention or visit an emergency room.,"Monitor for respiratory symptoms (coughing, difficulty breathing).",Do not attempt to self-treat.
38,0196_jpg.rf.d61a309f401cd0404646ed60ec3b98fe.jpg,Fixed appliance: Breakage of telescopic rod,Severe,78,"• Schedule an emergency clinic visit immediately.
• Do not try to bend, force, or cut the telescopic rod yourself.
• Cover any protruding metal parts with a large ball of wax.",Schedule an emergency clinic visit immediately.,"Do not try to bend, force, or cut the telescopic rod yourself.",Cover any protruding metal parts with a large ball of wax.
39,0199_jpg.rf.eadfa5d3e04368c9f666b7b23de02cb0.jpg,Ligature-related: Lost elastic ligature,Minor,15,"• This is a minor issue; the bracket ring has disengaged.
• Keep the area clean and mention it at your next regular visit.
• If the archwire becomes loose, contact your clinic.",This is a minor issue; the bracket ring has disengaged.,Keep the area clean and mention it at your next regular visit.,"If the archwire becomes loose, contact your clinic."
40,01_jpg.rf.225ab055c73ed55d49763ea0a46b3b20.jpg,TMJ discomfort: Joint locking & acute pain,Severe,82,"• Temporarily reduce mandibular advancement if adjustable.
• Apply a warm compress to the jaw joint area.
• Schedule an urgent consultation to assess TMJ stress.",Temporarily reduce mandibular advancement if adjustable.,Apply a warm compress to the jaw joint area.,Schedule an urgent consultation to assess TMJ stress.
41,0201_jpg.rf.efb905220930f63ecd3ea63890be5479.jpg,Appliance adaptation: Salivation & soreness,Minor,12,"• This is normal during the initial adaptation phase.
• Sip cool water and practice speaking aloud.
• The soreness should resolve in 3-5 days.",This is normal during the initial adaptation phase.,Sip cool water and practice speaking aloud.,The soreness should resolve in 3-5 days.
42,0202_jpg.rf.0d70ee6ddacd3b0792232b4ce4610762.jpg,Ligature-related: Lost elastic ligature,Minor,15,"• This is a minor issue; the bracket ring has disengaged.
• Keep the area clean and mention it at your next regular visit.
• If the archwire becomes loose, contact your clinic.",This is a minor issue; the bracket ring has disengaged.,Keep the area clean and mention it at your next regular visit.,"If the archwire becomes loose, contact your clinic."
43,0205_jpg.rf.a20770b4ed05a98c3c6518d5b0bf8f44.jpg,Bracket-related: Complete debond,Moderate,45,"• Schedule an appointment within the next 2 weeks for rebonding.
• Avoid hard, sticky, or chewy foods that can displace the bracket further.
• If the bracket is loose on the wire, secure it with wax.",Schedule an appointment within the next 2 weeks for rebonding.,"Avoid hard, sticky, or chewy foods that can displace the bracket further.","If the bracket is loose on the wire, secure it with wax."
44,0207_jpg.rf.9a3d3454eda0e309ea6e5c2f9ea38fdf.jpg,Archwire-related: Poking wire,Minor,18,"• Apply orthodontic wax to the sharp wire tip.
• Schedule a standard appointment to get the wire trimmed.
• Avoid touching the area with your tongue to prevent irritation.",Apply orthodontic wax to the sharp wire tip.,Schedule a standard appointment to get the wire trimmed.,Avoid touching the area with your tongue to prevent irritation.
45,0208_jpg.rf.2a49d6304db7341af1329ba54bc846a1.jpg,Aspiration risk: Swallowed bracket/component,Severe,95,"• Seek immediate medical attention or visit an emergency room.
• Monitor for respiratory symptoms (coughing, difficulty breathing).
• Do not attempt to self-treat.",Seek immediate medical attention or visit an emergency room.,"Monitor for respiratory symptoms (coughing, difficulty breathing).",Do not attempt to self-treat.
46,0213_jpg.rf.fe9aa3d6fdb9911db8949b778cd2b5eb.jpg,Aspiration risk: Swallowed bracket/component,Severe,95,"• Seek immediate medical attention or visit an emergency room.
• Monitor for respiratory symptoms (coughing, difficulty breathing).
• Do not attempt to self-treat.",Seek immediate medical attention or visit an emergency room.,"Monitor for respiratory symptoms (coughing, difficulty breathing).",Do not attempt to self-treat.
47,0214_jpg.rf.cd0a7fd44947e12d31c1e1731270d97c.jpg,Periodontal issues: Gingival inflammation,Moderate,52,"• Reinforce strict brushing and flossing around brackets.
• Use an antiseptic mouthwash or warm salt water rinse.
• Consult your hygienist if bleeding persists beyond a week.",Reinforce strict brushing and flossing around brackets.,Use an antiseptic mouthwash or warm salt water rinse.,Consult your hygienist if bleeding persists beyond a week.
48,0219_jpg.rf.f8ba4b4bc627708912da19f5bbe22345.jpg,Trauma-related: Fixed appliance injury,Severe,85,"• Contact your orthodontist immediately for emergency repair.
• If there is bleeding or cut, apply direct pressure with clean gauze.
• Stick to liquid diet until evaluated by a specialist.",Contact your orthodontist immediately for emergency repair.,"If there is bleeding or cut, apply direct pressure with clean gauze.",Stick to liquid diet until evaluated by a specialist.
49,0227_jpg.rf.d494c7d8f015ba6bbb38f9542e34f14a.jpg,Fixed appliance: Breakage of telescopic rod,Severe,78,"• Schedule an emergency clinic visit immediately.
• Do not try to bend, force, or cut the telescopic rod yourself.
• Cover any protruding metal parts with a large ball of wax.",Schedule an emergency clinic visit immediately.,"Do not try to bend, force, or cut the telescopic rod yourself.",Cover any protruding metal parts with a large ball of wax.
50,0228_jpg.rf.e47221c5c9c0f9b2b7048b79eaaa5082.jpg,Trauma-related: Fixed appliance injury,Severe,85,"• Contact your orthodontist immediately for emergency repair.
• If there is bleeding or cut, apply direct pressure with clean gauze.
• Stick to liquid diet until evaluated by a specialist.",Contact your orthodontist immediately for emergency repair.,"If there is bleeding or cut, apply direct pressure with clean gauze.",Stick to liquid diet until evaluated by a specialist.
51,0231_jpg.rf.059a42385673c0296f7c6c7fdc657df5.jpg,TMJ discomfort: Joint locking & acute pain,Severe,82,"• Temporarily reduce mandibular advancement if adjustable.
• Apply a warm compress to the jaw joint area.
• Schedule an urgent consultation to assess TMJ stress.",Temporarily reduce mandibular advancement if adjustable.,Apply a warm compress to the jaw joint area.,Schedule an urgent consultation to assess TMJ stress.
52,0233_jpg.rf.4d5caf0394c94c00e757b0195dd1d3a6.jpg,Ligature-related: Lost elastic ligature,Minor,15,"• This is a minor issue; the bracket ring has disengaged.
• Keep the area clean and mention it at your next regular visit.
• If the archwire becomes loose, contact your clinic.",This is a minor issue; the bracket ring has disengaged.,Keep the area clean and mention it at your next regular visit.,"If the archwire becomes loose, contact your clinic."
53,0234_jpg.rf.acdc6449df7fcf2572253007cd72b291.jpg,Fixed appliance: Breakage of telescopic rod,Severe,78,"• Schedule an emergency clinic visit immediately.
• Do not try to bend, force, or cut the telescopic rod yourself.
• Cover any protruding metal parts with a large ball of wax.",Schedule an emergency clinic visit immediately.,"Do not try to bend, force, or cut the telescopic rod yourself.",Cover any protruding metal parts with a large ball of wax.
54,0235_jpg.rf.1164d1653c7ee8c28a7d3786c1c527dd.jpg,Fixed appliance: Breakage of telescopic rod,Severe,78,"• Schedule an emergency clinic visit immediately.
• Do not try to bend, force, or cut the telescopic rod yourself.
• Cover any protruding metal parts with a large ball of wax.",Schedule an emergency clinic visit immediately.,"Do not try to bend, force, or cut the telescopic rod yourself.",Cover any protruding metal parts with a large ball of wax.
55,0236_jpg.rf.66f3f12cdea244bad7eff6e523be71a7.jpg,Twin Block: Dislodged bite block,Moderate,48,"• Schedule an adjustment appointment for block reconstruction.
• Stop wearing the appliance if it causes occlusal interference or pain.
• Keep the appliance safe in its case until repaired.",Schedule an adjustment appointment for block reconstruction.,Stop wearing the appliance if it causes occlusal interference or pain.,Keep the appliance safe in its case until repaired.
56,0237_jpg.rf.c884f28b235fb6479af7a8c1cf9d6a72.jpg,Bracket-related: Complete debond,Moderate,45,"• Schedule an appointment within the next 2 weeks for rebonding.
• Avoid hard, sticky, or chewy foods that can displace the bracket further.
• If the bracket is loose on the wire, secure it with wax.",Schedule an appointment within the next 2 weeks for rebonding.,"Avoid hard, sticky, or chewy foods that can displace the bracket further.","If the bracket is loose on the wire, secure it with wax."
57,0238_jpg.rf.0d54ea02e2f33bbbabca5babc7ab577c.jpg,Caries/enamel: White spot lesions,Moderate,58,"• Requires immediate improvement in plaque removal.
• Use a high-fluoride toothpaste or remineralizing paste.
• Avoid sugary and acidic drinks completely.",Requires immediate improvement in plaque removal.,Use a high-fluoride toothpaste or remineralizing paste.,Avoid sugary and acidic drinks completely.
58,0241_jpg.rf.697a1b0a634d3cedba38e7d77a9891a5.jpg,Aspiration risk: Swallowed bracket/component,Severe,95,"• Seek immediate medical attention or visit an emergency room.
• Monitor for respiratory symptoms (coughing, difficulty breathing).
• Do not attempt to self-treat.",Seek immediate medical attention or visit an emergency room.,"Monitor for respiratory symptoms (coughing, difficulty breathing).",Do not attempt to self-treat.
59,0242_jpg.rf.9d46516bc47b9f8d41784e409b091645.jpg,Pain-related: Excessive activation pain,Moderate,40,"• Take over-the-counter pain relievers if necessary.
• Stick to a soft food diet (yogurt, soup, mashed potatoes).
• Consult your doctor if severe pain persists beyond 5 days.",Take over-the-counter pain relievers if necessary.,"Stick to a soft food diet (yogurt, soup, mashed potatoes).",Consult your doctor if severe pain persists beyond 5 days.
60,0244_jpg.rf.823d4c1c20c98acbbaab55a9395ad864.jpg,Trauma-related: Fixed appliance injury,Severe,85,"• Contact your orthodontist immediately for emergency repair.
• If there is bleeding or cut, apply direct pressure with clean gauze.
• Stick to liquid diet until evaluated by a specialist.",Contact your orthodontist immediately for emergency repair.,"If there is bleeding or cut, apply direct pressure with clean gauze.",Stick to liquid diet until evaluated by a specialist.
61,0245_jpg.rf.804eedd1914621545ebe4621e000154b.jpg,Periodontal issues: Gingival inflammation,Moderate,52,"• Reinforce strict brushing and flossing around brackets.
• Use an antiseptic mouthwash or warm salt water rinse.
• Consult your hygienist if bleeding persists beyond a week.",Reinforce strict brushing and flossing around brackets.,Use an antiseptic mouthwash or warm salt water rinse.,Consult your hygienist if bleeding persists beyond a week.
62,0247_jpg.rf.05f8e73938328f7590fbf3b370407460.jpg,Fixed appliance: Breakage of telescopic rod,Severe,78,"• Schedule an emergency clinic visit immediately.
• Do not try to bend, force, or cut the telescopic rod yourself.
• Cover any protruding metal parts with a large ball of wax.",Schedule an emergency clinic visit immediately.,"Do not try to bend, force, or cut the telescopic rod yourself.",Cover any protruding metal parts with a large ball of wax.
63,0248_jpg.rf.6453346b2f25c2d73aeae06de7ce4f05.jpg,Pain-related: Excessive activation pain,Moderate,40,"• Take over-the-counter pain relievers if necessary.
• Stick to a soft food diet (yogurt, soup, mashed potatoes).
• Consult your doctor if severe pain persists beyond 5 days.",Take over-the-counter pain relievers if necessary.,"Stick to a soft food diet (yogurt, soup, mashed potatoes).",Consult your doctor if severe pain persists beyond 5 days.
64,0251_jpg.rf.59c21585d27c0c3af5f67ea6b3f276a7.jpg,Bracket-related: Complete debond,Moderate,45,"• Schedule an appointment within the next 2 weeks for rebonding.
• Avoid hard, sticky, or chewy foods that can displace the bracket further.
• If the bracket is loose on the wire, secure it with wax.",Schedule an appointment within the next 2 weeks for rebonding.,"Avoid hard, sticky, or chewy foods that can displace the bracket further.","If the bracket is loose on the wire, secure it with wax."
65,0252_jpg.rf.7e336d6e57a410192acd2667509777c7.jpg,Soft tissue injuries: Cheek ulcer,Minor,22,"• Apply orthodontic wax to the bracket rubbing your cheek.
• Rinse mouth with warm salt water to promote healing.
• Use topical oral anesthetic gel if painful.",Apply orthodontic wax to the bracket rubbing your cheek.,Rinse mouth with warm salt water to promote healing.,Use topical oral anesthetic gel if painful.
66,0253_jpg.rf.28fdcf94fd58bdad9083c12b815d0768.jpg,Twin Block: Dislodged bite block,Moderate,48,"• Schedule an adjustment appointment for block reconstruction.
• Stop wearing the appliance if it causes occlusal interference or pain.
• Keep the appliance safe in its case until repaired.",Schedule an adjustment appointment for block reconstruction.,Stop wearing the appliance if it causes occlusal interference or pain.,Keep the appliance safe in its case until repaired.
67,0254_jpg.rf.f3dfc4321d11bc66510f9ac61e3c6ab0.jpg,Twin Block: Dislodged bite block,Moderate,48,"• Schedule an adjustment appointment for block reconstruction.
• Stop wearing the appliance if it causes occlusal interference or pain.
• Keep the appliance safe in its case until repaired.",Schedule an adjustment appointment for block reconstruction.,Stop wearing the appliance if it causes occlusal interference or pain.,Keep the appliance safe in its case until repaired.
68,0256_jpg.rf.62a813292080b86e3702f12ae975179f.jpg,Archwire-related: Poking wire,Minor,18,"• Apply orthodontic wax to the sharp wire tip.
• Schedule a standard appointment to get the wire trimmed.
• Avoid touching the area with your tongue to prevent irritation.",Apply orthodontic wax to the sharp wire tip.,Schedule a standard appointment to get the wire trimmed.,Avoid touching the area with your tongue to prevent irritation.
69,0257_jpg.rf.60c853a7459e07f76932bb61099faa68.jpg,Pain-related: Excessive activation pain,Moderate,40,"• Take over-the-counter pain relievers if necessary.
• Stick to a soft food diet (yogurt, soup, mashed potatoes).
• Consult your doctor if severe pain persists beyond 5 days.",Take over-the-counter pain relievers if necessary.,"Stick to a soft food diet (yogurt, soup, mashed potatoes).",Consult your doctor if severe pain persists beyond 5 days.
70,0258_jpg.rf.0076e33ea8532e022dbca8b16d5d6a5a.jpg,Pain-related: Excessive activation pain,Moderate,40,"• Take over-the-counter pain relievers if necessary.
• Stick to a soft food diet (yogurt, soup, mashed potatoes).
• Consult your doctor if severe pain persists beyond 5 days.",Take over-the-counter pain relievers if necessary.,"Stick to a soft food diet (yogurt, soup, mashed potatoes).",Consult your doctor if severe pain persists beyond 5 days.
71,0259_jpg.rf.d22b00478dde13bed6dbce6f05484c9d.jpg,Ligature-related: Lost elastic ligature,Minor,15,"• This is a minor issue; the bracket ring has disengaged.
• Keep the area clean and mention it at your next regular visit.
• If the archwire becomes loose, contact your clinic.",This is a minor issue; the bracket ring has disengaged.,Keep the area clean and mention it at your next regular visit.,"If the archwire becomes loose, contact your clinic."
